player,org,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
BcJ,EG,0.94,187.3,0.95,76%,122.9,0.65,0.35,0.08,0.10,19%,21%
Morgausse,N8V,0.94,181.3,0.82,73%,124.7,0.60,0.44,0.09,0.12,19%,8%
NMSRLM,TV,0.94,180.8,0.89,69%,113.7,0.65,0.33,0.05,0.07,36%,14%
Tim,ZMM.B,0.94,197.7,0.89,70%,126.3,0.68,0.40,0.09,0.11,25%,26%
shooterR,PHX,0.94,206.4,0.94,66%,135.1,0.75,0.21,0.16,0.17,37%,8%
snarly,QOR,0.94,176.0,0.90,71%,114.8,0.63,0.36,0.08,0.08,32%,8%
HUYNH,FCN,0.94,180.9,0.89,68%,115.7,0.60,0.41,0.08,0.11,17%,7%
Princessicy,Noct,0.93,197.8,0.86,60%,132.3,0.71,0.22,0.11,0.13,42%,17%
k0rupt,NA,0.93,188.6,0.90,69%,127.0,0.65,0.32,0.09,0.10,28%,23%
Just Helping,Drag,0.93,206.7,0.85,64%,137.2,0.74,0.29,0.10,0.14,33%,10%
DaFt,VIC,0.93,218.9,0.97,64%,144.7,0.77,0.17,0.19,0.15,30%,28%
Fighter,TU,0.93,219.1,1.02,66%,144.2,0.78,0.17,0.12,0.13,31%,10%
Slandy,RF.GC,0.93,166.5,0.86,68%,109.3,0.60,0.29,0.04,0.06,25%,10%
Rue,3E.V,0.93,174.9,0.89,68%,119.4,0.62,0.28,0.04,0.07,19%,7%
sogo,FCN,0.93,193.7,0.92,69%,134.6,0.67,0.28,0.12,0.17,21%,9%
Raven,TDY,0.93,183.8,0.92,65%,125.4,0.68,0.15,0.07,0.09,37%,3%
parker,LR,0.93,171.4,0.81,67%,115.0,0.61,0.37,0.07,0.06,33%,12%
CRUNCH,Illu,0.93,215.5,0.91,65%,141.5,0.74,0.18,0.17,0.20,30%,14%
suzu,FL.GC,0.92,219.5,0.93,66%,147.5,0.75,0.22,0.17,0.22,24%,11%
saas,,0.92,200.9,0.87,66%,133.9,0.72,0.18,0.10,0.11,25%,7%
cuteasa,RTL,0.92,198.5,0.92,68%,130.2,0.71,0.16,0.10,0.12,19%,22%
Jiex,VLNT,0.92,184.7,0.85,72%,121.7,0.63,0.43,0.07,0.07,36%,14%
Kazler,RF.GC,0.92,194.8,0.91,70%,131.0,0.67,0.25,0.11,0.12,28%,14%
JoXJo,RID,0.92,189.6,0.85,74%,121.4,0.62,0.34,0.08,0.08,27%,20%
panday,oomf,0.92,175.3,0.93,70%,113.4,0.63,0.24,0.09,0.12,34%,12%
Raquinuki,FSX,0.92,170.5,0.88,68%,115.6,0.61,0.24,0.09,0.08,28%,11%
sterben,GAL,0.92,183.4,0.84,66%,129.2,0.62,0.24,0.06,0.09,29%,10%
isaa,TL,0.92,178.6,0.91,72%,121.9,0.62,0.31,0.06,0.07,29%,11%
aria,TDY,0.92,189.3,0.88,68%,124.5,0.67,0.32,0.10,0.13,32%,11%
sawamura,SISU,0.91,172.2,0.90,68%,116.4,0.65,0.19,0.11,0.13,42%,35%
Matt,Burg,0.91,171.6,0.91,69%,113.8,0.62,0.25,0.09,0.08,22%,12%
Polkan,IluZ,0.91,163.7,0.88,70%,108.6,0.59,0.37,0.05,0.07,34%,9%
bellatr1x,,0.91,192.5,0.88,69%,127.8,0.68,0.29,0.10,0.11,40%,17%
lz,2G,0.91,173.4,0.90,71%,109.6,0.61,0.29,0.09,0.10,37%,15%
